,btcusdt_close,ethusdt_close,bnbusdt_close,xrpusdt_close,adausdt_close,trxusdt_close,xlmusdt_close,neousdt_close,ltcusdt_close,eosusdt_close
btcusdt_close,0.0007235578381873144,0.0007519378635229589,0.00043484265329308733,0.000683042663641284,0.0009115102693093585,0.0004548639983591769,0.0006424713081150852,0.0009457376212306154,0.0007810947167481973,0.0010226476979364365
ethusdt_close,0.0007519378635229589,0.0011945013990752875,0.0007173658967295606,0.0009049538240307155,0.0011716057847292306,0.0006517020935277079,0.0008720365548876188,0.0012107666393958772,0.0011074235312767923,0.0013632636738444236
bnbusdt_close,0.0004348426532930874,0.0007173658967295606,0.00149240565283483,0.0005015674723261228,0.0008328367832652168,0.0003706634005862226,0.000478282911809629,0.0007348794107513224,0.0009304032373709322,0.0010526487456800804
xrpusdt_close,0.000683042663641284,0.0009049538240307156,0.0005015674723261228,0.0013973971527808104,0.0012468214723841656,0.0006616103279268248,0.0011119694835734406,0.0012471242182648425,0.0010135116045239478,0.001413730140520954
adausdt_close,0.0009115102693093585,0.0011716057847292304,0.0008328367832652169,0.0012468214723841654,0.0022699731471954024,0.0008111005436812294,0.0012230868920189463,0.001720821013883742,0.0012717821572882768,0.001805128980111812
trxusdt_close,0.000454863998359177,0.0006517020935277079,0.00037066340058622264,0.0006616103279268249,0.0008111005436812296,0.0007558263366381907,0.0006660676660856219,0.0009274146500048038,0.0006480042747541131,0.0009345717239771972
xlmusdt_close,0.0006424713081150852,0.0008720365548876186,0.00047828291180962906,0.0011119694835734406,0.0012230868920189463,0.0006660676660856219,0.0012767966657639127,0.001167276453972849,0.0009580823571999216,0.0013312195766454718
neousdt_close,0.0009457376212306152,0.0012107666393958772,0.0007348794107513224,0.0012471242182648427,0.0017208210138837422,0.0009274146500048038,0.001167276453972849,0.0025788178324775424,0.001210605851538537,0.0019577963625397065
ltcusdt_close,0.0007810947167481974,0.0011074235312767923,0.0009304032373709322,0.0010135116045239475,0.0012717821572882768,0.0006480042747541131,0.0009580823571999216,0.0012106058515385367,0.0016544216309422046,0.0015865374994057714
eosusdt_close,0.0010226476979364365,0.0013632636738444236,0.0010526487456800804,0.0014137301405209538,0.0018051289801118118,0.000934571723977197,0.0013312195766454718,0.0019577963625397065,0.0015865374994057716,0.002721315654302059
